Iteration	Posterior	Likelihood	Prior	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	rate_log_sd	tree_length	two_beta
0	-760.1491	-830.6712	70.52215	0.0237903	0.738536	0.0493123	0.188361	3.08788	2.556511	1.009041	0.6859194
6	-750.2914	-822.2816	71.99019	0.014611	0.458301	0.410201	0.116888	1.22095	2.267469	0.9872304	0.8927446
12	-759.3915	-827.271	67.87954	0.174458	0.408889	0.225853	0.190799	2.651928	1.792631	1.471034	5.610307
18	-768.2707	-832.0493	63.77859	0.141652	0.163351	0.55598	0.139017	0.8675395	1.999461	1.623025	33.18472
24	-762.4503	-829.661	67.21072	0.272995	0.129905	0.486546	0.110554	1.366656	2.202135	1.678897	8.337141
30	-754.4108	-818.9528	64.542	0.450366	0.263371	0.205456	0.0808075	3.031712	1.940789	2.816423	8.223579
36	-752.158	-821.1137	68.95573	0.147652	0.67722	0.14972	0.0254083	1.894581	1.735568	2.256392	2.429294
42	-754.1554	-825.2493	71.09388	0.181014	0.602441	0.128856	0.0876887	2.283793	1.891422	1.772667	0.2143304
48	-750.0769	-820.7274	70.65049	0.0686508	0.511521	0.345373	0.0744548	2.762909	2.302102	1.033088	0.9736787
54	-759.3715	-830.3899	71.01842	0.0962259	0.762717	0.0300396	0.111018	1.246998	2.523001	1.094829	1.50737
60	-753.5854	-825.2508	71.66537	0.148944	0.806649	0.0317698	0.0126367	0.9792022	2.203698	1.198124	1.299171
66	-764.721	-830.8845	66.16347	0.0942397	0.716262	0.180824	0.00867465	3.193512	1.942313	1.266905	10.28159
72	-743.2941	-812.9643	69.67019	0.061948	0.831506	0.052735	0.0538108	3.324784	2.091339	1.039984	1.942463
78	-746.5049	-813.3086	66.80371	0.0624801	0.637041	0.148723	0.151757	5.595688	1.893695	1.921394	3.223669
84	-749.9229	-816.0912	66.16833	0.214367	0.341453	0.26323	0.180949	4.465329	1.887325	2.156459	4.761135
90	-742.2885	-809.0607	66.77221	0.148236	0.750921	0.063176	0.0376666	7.368566	2.143213	1.263909	3.279874
96	-743.8522	-807.8172	63.965	0.0146789	0.5088	0.437113	0.0394089	18.08812	2.453842	0.9484923	3.934546
102	-750.5747	-811.5675	60.99276	0.194933	0.165924	0.630512	0.00863068	6.452673	2.63125	0.9510972	30.50576
108	-745.9525	-809.5528	63.60023	0.648547	0.0687371	0.278929	0.00378759	8.056544	2.342476	0.8094325	12.843
114	-746.8803	-814.5097	67.62936	0.33695	0.386687	0.256267	0.0200957	1.975628	2.340958	1.196553	6.999274
120	-747.1787	-815.5879	68.40912	0.469245	0.247665	0.262505	0.0205849	7.576791	2.300758	0.7688082	1.345954
126	-749.2367	-816.8299	67.59317	0.646164	0.143857	0.198022	0.0119568	4.603776	2.165967	0.9133183	4.454316
132	-758.1416	-825.0092	66.86765	0.383389	0.0880365	0.50195	0.0266247	8.554124	2.299552	1.092538	2.576666
138	-759.8484	-823.9328	64.08439	0.284044	0.319591	0.315346	0.0810185	6.428733	2.14959	1.092538	12.80208
144	-758.2725	-828.1387	69.86628	0.180435	0.49307	0.301243	0.0252522	1.824994	2.000357	1.303454	2.792582
150	-756.1707	-824.1861	68.0154	0.283522	0.529775	0.156531	0.0301716	5.733455	1.783101	1.5342	2.26574
156	-743.7169	-812.2813	68.56443	0.0889691	0.749199	0.150797	0.0110352	1.226857	1.934671	2.925307	1.982907
162	-745.3748	-815.9663	70.5914	0.0443772	0.858034	0.0920846	0.00550429	0.824692	2.083117	1.560566	2.43806
168	-747.3427	-818.6191	71.27638	0.0594284	0.884169	0.0542444	0.00215803	1.58805	2.09515	1.572489	0.753889
174	-753.1322	-822.3767	69.24449	0.158665	0.790883	0.0485213	0.00193035	6.453848	1.956821	1.17894	0.8349148
180	-746.5295	-815.2181	68.68859	0.14038	0.812847	0.0429296	0.00384333	2.632925	2.364612	0.9403432	3.929975
186	-755.6341	-822.9658	67.33168	0.29711	0.539015	0.157496	0.00637844	2.765227	1.920302	2.129306	4.246225
192	-756.0999	-823.9156	67.81572	0.169648	0.568578	0.255672	0.00610172	6.053737	2.334025	1.543569	1.62649
198	-756.1675	-825.5151	69.34761	0.192298	0.513079	0.287707	0.00691638	1.598256	1.756009	2.634713	1.422504
204	-759.4228	-828.6556	69.23277	0.11119	0.706719	0.159261	0.0228296	4.617921	1.795135	1.818741	0.9062573
210	-755.3127	-823.6699	68.35719	0.0965639	0.624764	0.229803	0.04887	1.849406	2.015875	1.603985	4.867432
216	-749.4944	-813.7445	64.25008	0.705502	0.150302	0.138922	0.00527471	9.10076	2.252242	1.560187	6.656287
222	-756.8595	-818.2608	61.4013	0.592727	0.164516	0.236902	0.00585504	26.51955	2.158431	2.018715	4.417822
